GRA,Species,SuperKingdom,Q1,Order,Family,SubFamily,Genus
0.006116202624475864,Torque teno virus 27 [687366],Viruses [10239],ssDNA viruses [29258],N/A [N/A],Anelloviridae [687329],N/A [N/A],Alphatorquevirus [687331]
7.456365353280116e-05,Leuconostoc phage phiLNTR2 [1262523],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
7.2673546073505245e-06,Simian adenovirus 49 [995022],Viruses [10239],dsDNA viruses no RNA stage [35237],N/A [N/A],Adenoviridae [10508],N/A [N/A],Mastadenovirus [10509]
0.00010602178511566304,Bordetella phage BIP-1 [263375],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Podoviridae [10744],N/A [N/A],Bppunalikevirus [542959]
3.8437262259458994e-05,Pseudomonas phage DMS3 [389469],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],D3112likevirus [1623286]
3.253488615430835e-05,Pseudomonas phage MP38 [505292],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],D3112likevirus [1623286]
0.0001757494236285591,Synechococcus phage ACG-2014e [1493510],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Myoviridae [10662],N/A [N/A],T4likevirus [10663]
0.001157919224103104,Streptococcus phage 858 [459845],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],Sfi1unalikevirus [1623303]
2.8643685069145665e-05,Enterobacteria phage PsP3 [12407],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Myoviridae [10662],N/A [N/A],P2likevirus [140410]
0.014170210529302507,Leuconostoc phage phiLN03 [1262515],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
3.3023365949644006e-05,Macroptilium yellow mosaic virus [169865],Viruses [10239],ssDNA viruses [29258],N/A [N/A],Geminiviridae [10811],N/A [N/A],Begomovirus [10814]
0.0019323671497584536,Lactobacillus phage JCL1032 [37105],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.0003220611916264089,Monkeypox virus Zaire-96-I-16 [619591],Viruses [10239],dsDNA viruses no RNA stage [35237],N/A [N/A],Poxviridae [10240],N/A [N/A],Orthopoxvirus [10242]
2.2794933367271105e-05,Sida mosaic Bolivia virus 1 [932069],Viruses [10239],ssDNA viruses [29258],N/A [N/A],Geminiviridae [10811],N/A [N/A],Begomovirus [10814]
0.05764895330112719,Lactococcus phage P087 [641487],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
9.528241942945251e-05,Pseudomonas phage M6 [347328],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],Yualikevirus [1299429]
8.64669422804033e-05,Leuconostoc phage phiLNTR3 [1262521],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.00016103059581320446,Listeria phage LMSP-25 [1486421],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Myoviridae [10662],N/A [N/A],N/A [N/A]
3.9390021007109295e-05,Lactococcus phage P078 [1476886],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.00016103059581320446,Staphylococcus phage 52A [320847],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],Phietalikevirus [1623298]
3.3357883495935828e-06,Bacillus phage Grass [1406785],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],N/A [N/A],N/A [N/A],N/A [N/A]
0.0003220611916264089,Human bocavirus 3 [638313],Viruses [10239],ssDNA viruses [29258],N/A [N/A],Parvoviridae [10780],N/A [N/A],Bocaparvovirus [1507401]
0.0003220611916264089,Pseudomonas phage PaBG [1335230],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Myoviridae [10662],N/A [N/A],N/A [N/A]
6.329169914374986e-06,Human mastadenovirus E [130308],Viruses [10239],dsDNA viruses no RNA stage [35237],N/A [N/A],Adenoviridae [10508],N/A [N/A],Mastadenovirus [10509]
0.00016103059581320446,Synechococcus phage S-RSM4 [555387],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Myoviridae [10662],N/A [N/A],T4likevirus [10663]
0.00016103059581320446,Streptococcus phage M102 [372457],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.00020172434060094322,Lactobacillus phage PL-1 [39103],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.00041954046521259884,Streptococcus phage O1205 [85154],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],Sfi1unalikevirus [1623303]
0.0005763398243581004,Lactococcus phage jm3 [1262536],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
1.4682226028383252e-05,Enterobacteria phage mEpX1 [1147153],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],Lambdalikevirus [186765]
0.0030404155024216463,Spleen focus-forming virus [11819],Viruses [10239],Retro-transcribing viruses [35268],N/A [N/A],Retroviridae [11632],N/A [N/A],Gammaretrovirus [153135]
8.761467750717072e-05,Enterobacteria phage ST104 [221029],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Podoviridae [10744],N/A [N/A],P22likevirus [186794]
0.00013963996028531827,Enterobacteria phage ES18 [101570],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.0003220611916264089,Emiliania huxleyi virus 86 [181082],Viruses [10239],dsDNA viruses no RNA stage [35237],N/A [N/A],Phycodnaviridae [10501],N/A [N/A],Coccolithovirus [346673]
0.04404214548452609,Lactococcus phage Q54 [382685],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.0014066970639199305,Lactococcus phage bIBB29 [494269],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],Skunalikevirus [1623305]
3.5216637536394644e-05,Propionibacterium phage PHL113M01 [1235655],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.00016103059581320446,Lactococcus phage 1706 [475178],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
3.842565652175202e-05,Edwardsiella phage MSW-3 [1264700],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Myoviridae [10662],N/A [N/A],N/A [N/A]
0.00016103059581320446,Ralstonia phage RSK1 [1417599],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Podoviridae [10744],N/A [N/A],N/A [N/A]
0.043455275757823805,Human mastadenovirus C [129951],Viruses [10239],dsDNA viruses no RNA stage [35237],N/A [N/A],Adenoviridae [10508],N/A [N/A],Mastadenovirus [10509]
0.00016103059581320446,Lactobacillus prophage Lj965 [139870],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
4.557173921781523e-05,Lactococcus phage phi7 [1262538],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
1.9704957330053125e-07,Streptococcus phage Sfi11 [78541],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],Sfi1unalikevirus [1623303]
0.011713632823276232,Torque teno virus 19 [687358],Viruses [10239],ssDNA viruses [29258],N/A [N/A],Anelloviridae [687329],N/A [N/A],Alphatorquevirus [687331]
0.0031333952131748196,Lactococcus phage BK5-T [31754],Viruses [10239],dsDNA viruses no RNA stage [35237],Caudovirales [28883],Siphoviridae [10699],N/A [N/A],N/A [N/A]
0.0011651803164723536,Moloney murine leukemia virus [11801],Viruses [10239],Retro-transcribing viruses [35268],N/A [N/A],Retroviridae [11632],N/A [N/A],Gammaretrovirus [153135]
