GRA,Genus
0.00016103059581320446,Phietalikevirus [1623298]
0.0006441223832528178,Pestivirus [11095]
0.000570706464946784,P22likevirus [186794]
0.17173191786951558,Alphatorquevirus [687331]
9.528241942945251e-05,Yualikevirus [1299429]
0.043473769928707086,Mastadenovirus [10509]
9.622457313590151e-05,D3112likevirus [1623286]
0.00016103059581320446,Mimivirus [315393]
0.0003220611916264089,Coccolithovirus [346673]
0.00048309178743961335,Chlorovirus [181083]
0.0006308254181998187,Bppunalikevirus [542959]
0.0003220611916264089,Bocaparvovirus [1507401]
0.0008151171362483518,Lambdalikevirus [186765]
1.329696505299904e-05,D3likevirus [1623287]
0.00011372115224304379,Twortlikevirus [1198135]
0.000322061191626409,Inovirus [10861]
0.0006441223832528178,T4likevirus [10663]
0.00016103059581320443,Begomovirus [10814]
0.001935668327628404,Sfi21dtunalikevirus [1623304]
0.00016103059581320446,Cytomegalovirus [10358]
0.7385728477048283,N/A [N/A]
0.0026640832148399807,Skunalikevirus [1623305]
0.00016103059581320446,Ictalurivirus [172653]
0.01626409017713365,Gammaretrovirus [153135]
0.0003220611916264089,Phie125likevirus [1623297]
0.00434782608695652,Polyomavirus [10624]
0.0009661835748792267,Phijlunalikevirus [1623300]
0.004991948470209338,Betabaculovirus [558017]
0.003157257643610375,Sfi1unalikevirus [1623303]
0.0003220611916264089,Orthopoxvirus [10242]
0.00016103059581320446,Orthohepadnavirus [10405]
0.00016103059581320446,Vesiculovirus [11271]
0.0003220611916264089,Phifllikevirus [1623299]
0.00016103059581320446,Epsilon15likevirus [542960]
0.00016103059581320446,Alphabaculovirus [558016]
0.00016103059581320446,Mardivirus [180252]
0.0017999802390143947,P2likevirus [140410]
0.00016103059581320446,Alpharetrovirus [153057]
0.0008727159173912845,Chilikevirus [1623283]
0.0003220611916264089,Phikmvlikevirus [477967]
0.0010894352667533123,Punalikevirus [186789]
